NINE_FIG,MARK_ID
109550065,219614
109550070,200135
109550071,196262
109550072,196263
109550077,197431
109550087,199623
109550088,199624
109550089,197450
109550090,197451
109550093,201097
109550094,201098
109550095,201099
109550096,201100
109550097,201101
109560013,211339
109580025,192223
109580027,192222
109580043,210066
109580045,210067
109580049,188298
109580050,188300
109580051,188299
109580052,188332
109580053,186665
109580054,186664
109580055,186667
109580061,189778
109580062,189779
109580063,189771
109580064,189772
109580065,189773
109580066,192221
109580067,192215
109580068,192216
109580069,192217
109580073,199964
109580090,196994
109580091,196995
109580092,196975
109580093,196976
109580101,192980
109580102,192981
109580103,192982
109580104,192983
109580125,197583
109580126,197584
109580127,197585
109580128,197586
109580129,197587
109580130,197588
109580131,197589
109580132,197590
109580133,197591
109580134,197592
109580135,197593
109580136,197594
109580137,193360
109580138,193361
109580139,193362
109580143,198998
109580144,198999
109580145,199000
109580150,232837
109580152,232838
109580153,197711
109580154,197712
109580155,197713
109580173,207259
109580208,207096
109580209,207097
109580210,208321
109580211,208323
109580212,208325
109580213,224167
109580214,224168
109580215,224169
109580216,224170
109580217,206498
109580218,206499
109580219,224171
109580220,224172
109580221,224173
109580222,224174
109580223,224175
109580227,224176
109580228,224177
109580229,224178
109580230,224179
109580235,224180
109580236,224181
109580237,224182
109580238,224183
109580239,224184
109580240,224185
109580241,224186
109580242,224187
109580243,224188
109580244,224189
109580245,224190
109580252,218455
109580257,224191
109580258,224192
109580259,224193
109580260,224194
109580261,224195
109580262,224196
109580263,224197
109580264,224198
109580265,224199
109580266,261659
109580267,261660
109580310,219143
109580311,219144
109580312,219145
109580314,227131
109580315,227132
109580325,227520
109580326,227521
109580327,227522
109580328,227523
109580329,227524
109580330,236110
109580331,236111
109580333,236070
109580334,236071
109580351,240110
109580352,240111
109580359,244309
109580360,244310
109580361,244311
109580362,244312
109580364,251551
109580365,251552
109580377,255883
109580378,255884
109580379,255885
109580380,255886
109580381,255887
109580382,255888
109580383,255889
109580384,255890
109580385,255891
109580386,255892
109580387,255893
109580388,255894
109580389,255895
109580390,255896
109800001,160179
109800002,160180
109800003,160295
109800004,160296
109800005,160297
109800010,187365
109800014,229069
109800016,229070
109800048,187746
109800049,187737
109800050,187743
109800051,188281
109800052,188282
109800053,188269
109800054,188270
109800063,211260
109800066,211261
109800097,187633
109800098,187632
109800099,187631
109800100,187630
109800106,187361
109800107,187364
109800108,187362
109800109,187363
109800110,188087
109800111,188078
109800112,188097
109800113,188077
109800114,188076
109800115,188098
109800116,189009
109800117,189004
109800118,189010
109800119,193482
109800120,193483
109800121,193484
109800122,191014
109800123,191015
109800124,191016
109800125,196009
109800126,196010
109800127,196011
109800128,193701
109800129,193702
109800130,193703
109800131,193704
109800132,193705
109800133,193706
109800134,193707
109800135,196039
109800136,196040
109800137,195960
109800138,195961
109800139,195962
109800143,200768
109800144,200769
109800145,200770
109800146,200696
109800147,200697
109800148,200698
109800149,200699
109800150,198393
109800151,198387
109800152,198386
109800153,198385
109910002,187686
109910008,223168
109910011,243358
109910014,228904
109910015,228905
109910020,159854
109910021,159855
109910022,159856
109910023,159857
109910027,199127
109910030,160578
109910031,160579
109910036,225027
109910040,191985
109910041,191984
109910045,161688
109910046,161689
109910047,161687
109910065,162570
109910066,162569
109910067,203439
109910068,203440
109910069,187271
109910070,187272
109910071,191591
109910074,187325
109910075,187321
109910076,188174
109910077,187274
109910078,187275
109910079,187276
109910080,187277
109910082,193767
109910083,187273
109910084,195843
109910085,195844
109910086,186659
109910087,186660
109910091,189513
109910092,189430
109910093,189512
109910094,189458
109910095,189457
109910096,189456
109910098,187270
109910102,187291
109910103,187293
109910104,187292
109910105,187296
109910106,187297
109910108,197797
109910109,197796
109910111,187317
109910112,190075
109910113,190074
109910114,188518
109910115,188519
109910116,188615
109910117,188616
109910118,188528
109910119,188526
109910120,192788
109910130,191257
109910131,191258
109910132,191259
109910134,194100
109910137,224598
109910140,200641
109910141,200642
109910142,192728
109910143,192729
109910147,190153
109910148,190151
109910149,190158
109910150,191017
109910151,191018
109910157,190501
109910158,190502
109910163,191253
109910166,196081
109910167,194101
109910168,194102
109910169,194103
109910170,194161
109910179,197440
109910180,197439
109910181,197452
109910182,197458
109910183,197459
109910184,197460
109910185,197461
109910186,197462
109910191,200771
109910192,200772
109910193,200773
109910194,200774
109910199,200161
109910200,200160
109910201,200159
109910206,194097
109910207,194098
109910213,198313
109910214,198325
109910215,197811
109910216,197806
109910217,197808
109910220,199518
109910221,199519
109910222,199520
109910223,199521
109910234,200177
109910235,200178
109910236,200179
109910237,200180
109910238,200181
109910239,203246
109910258,199415
109910259,199416
109910260,199417
109910261,199418
109910262,201102
109910268,200454
109910269,200455
109910270,200456
109910271,200457
109910272,197504
109910273,197505
109910274,197506
109910275,198665
109910276,198666
109910277,198667
109910286,200891
109910287,200892
109910288,200893
109910289,200894
109910290,200895
109910291,200896
109910292,200182
109910293,200183
109910297,200897
109910298,200898
109910299,200899
109910309,200775
109910310,200776
109910311,200757
109910314,200458
109940001,159837
109940002,159836
109940008,160603
109970099,193155
109970100,193156
109970208,193157
109970209,193158
109970210,193159
109970219,193160
109990006,189114
109990007,160562
109990008,160563
109990009,160564
109990010,160565
109990011,160566
109990012,160567
109990013,160568
109990026,186440
109990027,186439
109990028,186438
109990029,202391
109990030,162557
109990031,162558
109990032,162559
109990033,202392
109990041,187048
109990042,187061
109990043,187049
109990044,187051
109990060,189833
109990061,189838
109990062,189834
109990063,189840
109990064,189835
109990065,190464
109990066,190465
109990067,190466
109990072,196245
109990073,196246
109990074,196247
109990075,196248
109990076,196249
109990077,196250
109990078,196251
109990080,203454
109990081,203455
109990082,203456
109990083,203457
109990084,203458
109990089,199035
109990090,199036
109990091,199037
109990113,214101
109990114,214102
109990115,214103
109990116,236436
109990120,216441
109990121,216442
109990122,216443
109990130,263085
109990131,263086
109990180,245811
109990181,245812
109990182,246156
109990183,246157
109990184,246158
109990190,262932
109990191,262933
109990192,262934
109990193,262935
109990195,263087
109990196,263088
109990197,263089
110050004,185915
110050005,185905
110050006,187848
110050007,187847
110050008,192858
110050009,192859
110050010,198418
110050011,198419
110050012,195973
110050013,195974
110050014,193048
110050015,193049
110050016,193050
110050019,198422
110050020,198423
110050021,227031
110050022,227032
110050032,212459
110050033,212460
110050040,216521
110050041,216522
110050042,216523
110050045,223989
110050046,223990
110050047,223991
110050048,223992
110110102,199589
110110103,199601
110170006,229717
110170008,229718
110170012,190742
110170013,190748
110170014,190751
110170015,190750
110170021,209319
110170029,223290
110170030,224507
110170031,223291
110170032,223292
110170033,223293
110170034,227133
110170036,253832
110170037,253833
110170038,253834
110240019,189248
110240020,189250
110240021,189249
110270000,200556
110270001,160168
110270002,160169
110270006,160311
110270007,160312
110270010,191600
110270011,191599
110270017,187392
110270018,187393
110270019,187374
110270020,187385
110270023,160739
110270028,186686
110270031,189263
110270032,189264
110270033,189271
110270037,229576
110270038,229577
110270042,229719
110270043,229720
110270044,210919
110270045,210920
110270046,210921
110270047,210922
110270048,210923
110270049,210924
110270052,227879
110270053,210925
110270054,210926
110270055,212788
110270056,212789
110270057,219615
110270058,219616
110270059,263245
110270060,233685
110270077,228518
110270078,229721
110270079,229722
110270080,229723
110270081,229724
110270082,229725
110270083,233985
110270084,242803
110270085,248241
110270087,246234
110270088,246235
110340001,159559
110340002,159620
110340003,159607
110340004,159621
110340005,157417
110340006,159608
110340007,159609
110340008,159906
110340009,159905
110340010,15795
110340013,159907
110340014,159838
110340015,159839
110340016,159840
110340017,159841
110340023,159920
110340024,159921
110340025,159922
110340026,159923
110340027,159924
110340028,159925
110340036,199128
110340049,160786
110340055,189796
110340057,189783
110340058,189797
110340059,211699
110340060,211700
110340061,187402
110340067,194252
110340068,195474
110340069,200700
110340070,199262
110340071,199263
110340073,202671
110340075,200701
110340081,245813
110340086,227134
110340087,202672
110340088,202673
110340089,227135
110340091,208625
110340092,208624
110340095,220167
110340098,251046
110340099,232495
110340107,236587
110340110,248779
110340111,248780
110340112,251047
110340113,251667
110340114,251668
110340119,254803
110340120,254804
110340121,254805
110340122,254806
110340123,254807
110340124,254808
110340134,261542
110340143,263534
110340144,263535
110340160,265640
110340161,265641
110340162,265642
110380001,228519
110380004,228520
110380014,195478
110380015,195479
110380016,195480
110380017,195481
110380018,195482
110380031,223000
110380032,223001
110380033,237404
110380054,209057
110380055,209058
110380056,209059
110380057,209060
110380058,209061
110380059,210058
110380060,210059
110380061,210060
110380062,210061
110380063,210062
110380064,210063
110380065,210618
110380066,210623
110380067,210624
110380073,219094
110380074,219095
110380075,219096
110380076,219097
110380077,219098
110380078,219099
110380087,222367
110380088,222368
110380089,222369
110380095,242249
110380096,250651
110380097,250652
110380370,199129
110380371,199130
110380372,199131
110380373,199132
110390003,159812
110390004,159811
110390005,189717
110390006,159809
110390007,159810
110390010,159701
110390011,159702
110390012,159703
110390022,160050
110390023,160051
110390024,160052
110390029,199278
110390046,162081
110390047,162082
110390077,162750
110390101,219100
110390106,212461
110390107,196927
110390108,212462
110390244,192730
110390245,192731
110390265,190731
110390266,190732
110390267,190733
110390268,190734
110390307,162566
110390309,191316
110390327,161805
110390328,161807
110390334,194152
110390340,161186
110390341,161187
110390349,199406
110390350,199474
110390351,199475
110390364,198882
110390366,198883
110390375,261723
110390380,261724
110390393,186356
110390394,186357
110390422,201394
110390423,193494
110390424,201395
110390425,193495
110390426,201396
110390429,188211
110390430,188212
110390436,191876
110390437,191877
110390438,191878
110390439,191879
110390462,188192
110390493,194135
110390494,194136
110390495,194137
110390501,189298
110390502,189315
110390506,188351
110390507,188352
110390508,188353
110390509,188354
110390525,191388
110390526,191387
110390527,191376
110390528,191375
110390529,191374
110390530,203431
110390531,203432
110390532,203433
110390535,186707
110390544,191901
110390545,191902
110390546,194182
110390547,194183
110390548,194153
110390549,194154
110390556,194184
110390557,194185
110390558,194186
110390559,194187
110390560,194188
110390561,191754
110390562,191755
110390563,191756
110390564,191757
110390578,222840
110390580,222841
110390587,194190
110390588,194191
110390589,194192
110390590,191465
110390591,191471
110390592,191472
110390596,191950
110390597,191951
110390598,191940
110390599,191952
110390600,191938
110390601,191939
110390602,191937
110390609,194417
110390610,194418
110390611,194198
110450000,159704
110450001,159705
110450002,159706
110450003,159768
110450015,161781
110450016,161782
110450019,186621
110450020,193335
110450023,190352
110450024,190316
110450025,190317
110450032,191070
110450035,198577
110450036,198578
110450037,193793
110450038,193794
110450039,193795
110450040,191456
110450041,189727
110450043,198579
110450044,191214
110450045,192928
110450046,192929
110450048,201053
110450049,192969
110450050,198203
110450051,198162
110450052,197819
110450054,198228
110450055,198179
110450056,198457
110450057,198458
110450058,198459
110450059,198460
110450060,199317
110450061,199318
110450062,198884
110450063,198885
110450064,199319
110450065,197823
110450067,242709
110450069,200163
110450073,204002
110450074,204003
110450075,204004
110450076,198886
110450077,198887
110450081,191455
110450082,199498
110450083,202071
110450084,202072
110450087,206880
110450088,206881
110450094,229726
110450095,236310
110450101,206193
110450103,206194
110450106,206281
110450112,208442
110450117,206353
110450118,206354
110450119,233986
110450120,206892
110450121,229727
110450126,218333
110450127,202933
110450128,202932
110450129,218334
110450131,236311
110450132,236312
110450136,207502
110450137,203209
110450138,218506
110450139,218507
110450141,210692
110450142,210693
110450143,210694
110450144,206295
110450146,230119
110450147,229316
110450148,229317
110450150,216941
110450151,216942
110450153,243604
110450154,210068
110450157,210069
110450158,208268
110450161,206893
110450162,215399
110450163,209499
110450164,209500
110450165,209501
110450166,209502
110450167,208504
110450168,209472
110450169,209503
110450170,215865
110450171,215866
110450172,215867
110450173,206214
110450174,206213
110450175,211759
110450176,211760
110450177,211761
110450178,210557
110450179,210556
110450180,210555
110450181,210554
110450182,210431
110450183,212579
110450184,212580
110450185,212581
110450186,248242
110450187,248243
110450188,212582
110450189,212583
110450190,214793
110450191,214794
110450192,214795
110450193,214796
110450194,214797
110450195,220193
110450196,214779
110450197,214780
110450198,214781
110450199,214782
110450200,215640
110450201,207383
110450202,215641
110450203,215642
110450207,216943
110450208,216944
110450209,230120
110450211,219101
110450212,225409
110450213,217859
110450214,217860
110450215,217861
110450216,217862
110450217,217863
110450218,243605
110450219,219773
110450220,220353
110450221,219413
110450222,219414
110450223,219774
110450224,220117
110450225,220118
110450226,220119
110450227,220120
110450228,226109
110450229,226110
110450230,220121
110450231,220122
110450232,220123
110450238,225410
110450239,224508
110450246,207356
110450249,207373
110450250,207375
110450251,207365
110450254,207358
110450255,207360
110450256,207363
110450257,207371
110450258,207372
110450259,207377
110450260,207378
110450261,211784
110450262,211785
110450263,207357
110450266,217539
110450267,217540
110450269,219533
110450270,219534
110450271,219102
110450272,219103
110450273,219104
110450277,219535
110450278,219536
110450279,219537
110450280,219538
110450281,219539
110450282,219540
110450283,219541
110450294,221203
110450307,225607
110450308,225608
110450313,228521
110450314,239275
110450324,242989
110450325,251271
110450326,251272
110450327,251273
110450328,251274
110450330,250697
110450331,250698
110450333,243189
110450334,243190
110450340,250921
110450341,250922
110450342,250923
110450345,256062
110450369,241707
110450370,241708
110450371,241709
110450373,227136
110450374,227137
110450375,226587
110450376,227880
110450377,227881
110450378,228522
110450379,229578
110450382,237405
110450383,227811
110450384,227812
110450385,233870
110450386,233871
110450387,233872
110450388,228523
110450389,228524
110450391,230121
110450392,228525
110450393,228526
110450394,228527
110450397,230122
110450398,230123
110450399,230905
110450400,230906
110450401,230907
110450402,230908
110450405,231096
110450406,231097
110450407,231098
110450408,237406
110450409,232839
110450410,234753
110450411,234754
110450414,236655
110450415,236313
110450416,237810
110450417,237811
110450421,236230
110450422,236231
110450426,237407
110450427,253801
110450428,243479
110450429,244152
110450430,240707
110450431,240708
110450432,240709
110450436,241142
110450437,241909
110450438,241910
110450439,242351
110450440,242352
110450441,239357
110450442,242409
110450443,242410
110480183,242411
110530001,159970
110530002,159971
110530003,159972
110530008,160556
110530009,160557
110530011,198888
110530012,198889
110530016,160881
110530026,211340
110530028,231728
110530032,212352
110530037,211341
110530038,211342
110530039,211343
110530040,211344
110530041,211345
110530042,211346
110530043,211347
110530044,211348
110530045,212354
110530046,212355
110530047,212356
110530048,212357
110530049,212358
110530050,212359
110530052,213459
110530053,213460
110530056,213461
110530057,213739
110530058,213740
110530059,213741
110530064,257863
110530069,218039
110530070,218040
110530071,219947
110530072,219948
110530073,219949
110530074,219950
110530075,219951
110530076,219952
110530077,219953
110530078,219954
110530079,219955
110530080,219956
110530081,219957
110530084,219253
110530085,219254
110530086,219255
110530087,219256
110530093,224200
110530094,224201
110530095,224202
110530100,224547
110530101,224548
110530102,257864
110530103,228776
110530104,228777
110530108,228778
110530109,228779
110530110,228780
110530111,228781
110530112,228782
110530113,228783
110530114,228784
110530115,228785
110530116,228786
110530117,228787
110530118,228788
110530119,228789
110530120,228790
110530121,228791
110530122,228792
110530123,228793
110540006,187783
110540257,232515
110570006,160067
110570007,160068
110570008,160151
110570009,160152
110570010,160128
110570011,160129
110570016,161297
110570026,189033
110570027,189032
110570028,197031
110570029,197030
110570036,200184
110570038,185992
110570039,185993
110570040,185991
110570041,185990
110570042,190561
110570043,190562
110570044,198212
110570045,198362
110570046,198361
110570047,198211
110570048,198163
110570049,198360
110570050,198359
110570051,199320
110570052,199321
110570053,199322
110570054,199323
110570055,199324
110570056,199325
110570061,200185
110570062,200186
110570063,200187
110570065,198164
110570066,198165
110570067,198166
110570068,203240
110570069,203241
110570078,226588
110570081,226589
110570093,209055
110570094,223002
110570095,223003
110570096,223004
110570098,228382
110570102,232840
110570103,232841
110570104,234953
110570105,234954
110570110,245651
110570111,245652
110590007,192601
110590010,202214
110590012,209378
110590013,209379
110590014,160694
110590015,160693
110590016,160692
110590017,206355
110590024,193161
110590033,198244
110590034,203207
110590035,203208
110590036,193162
110590037,193163
110590038,189310
110590039,189309
110590048,251911
110590051,162554
110590052,162555
110590053,160703
110590055,224887
110590056,162928
110590057,162932
110590058,162929
110590059,162931
110590060,186306
110590061,160691
110590066,186988
110590069,186397
110590070,187546
110590071,187550
110590072,187551
110590073,188539
110590074,188540
110590076,187183
110590077,187184
110590078,187185
110590079,187180
110590080,187179
110590083,188599
110590084,188600
110590085,187188
110590086,190321
110590087,190322
110590088,190356
110590089,190355
110590090,190354
110590091,190353
110590092,192126
110590094,197785
110590095,197786
110590096,197790
110590097,197791
110590098,192860
110590099,192861
110590100,192862
110590101,192863
110590102,197090
110590103,197091
110590104,192128
110590105,192129
110590110,192127
110590117,195986
110590118,195987
110590119,195988
110590120,191965
110590121,191966
110590122,191975
110590123,191974
110590347,256227
110590348,256228
110590349,256229
110630002,196082
110630010,223828
110630011,223829
110630012,223830
110630013,229728
110630014,229729
110630015,229730
110630025,198825
110630026,198824
110630027,198823
110630032,198949
110630033,198950
110630035,200557
110630036,200558
110630037,200559
110630038,204007
110630039,204008
110630040,204009
110630041,204010
110630042,204011
110630043,204012
110630044,204013
110630045,204014
110630046,204015
110630047,231099
110630049,216879
110630051,216880
110630053,206356
110630054,206357
110630056,206358
110630079,223294
110630080,223295
110630081,223296
110630082,223297
110630083,223298
110630084,223299
110630085,223300
110630086,223301
110630087,223302
110630088,230124
110630089,213419
110630090,213420
110630091,213421
110630092,213422
110630093,213423
110630094,218673
110630096,219913
110630097,206359
110630098,206360
110630099,206361
110630100,206362
110630101,206363
110630102,206364
110630103,206365
110630104,206366
110630105,206367
110630106,206368
110630109,253425
110630110,219733
110630111,219734
110630116,210008
110630117,210009
110630118,210010
110630119,210011
110630120,208305
110630121,208307
110630122,208309
110630123,208310
110630124,208312
110630125,209976
110630126,208314
110630127,208315
110630128,208317
110630132,206369
110630133,248410
110630136,206490
110630137,206491
110630138,206492
110630139,206493
110630150,206370
110630151,209218
110630152,209219
110630153,209369
110630154,209370
110630155,209371
110630156,216945
110630157,216946
110630158,218674
110630159,218675
110630160,218676
110630161,217679
110630162,217680
110630163,217681
110630165,218508
110630166,218509
110630173,220313
110630178,216931
110630202,223303
110630203,223304
110630204,223305
110630216,224627
110630217,224628
110630218,224629
110630223,227138
110630224,227139
110630225,227140
110630235,223388
110630236,223389
110630237,223390
110630238,223391
110630239,223392
110630247,226488
110630248,226489
110630249,226490
110630250,226491
110630256,228002
110630257,228003
110630258,228004
110630264,241143
110630265,234551
110630266,234552
110630267,234553
110630274,253553
110630275,253554
110630276,253555
110630284,230125
110630285,230126
110630286,228906
110630287,228907
110630288,228908
110630290,234626
110630291,234627
110630292,234628
110630293,233095
110630294,233096
110630295,233097
110630309,235850
110630310,235851
110630311,235852
110630312,235853
110630313,235854
110630314,235855
110630315,235856
110630316,235857
110630317,235858
110630318,235859
110630319,235860
110630320,235861
110630321,235862
110630322,235863
110630323,235864
110630324,235865
110630343,250983
110630344,242674
110630345,242675
110680000,160027
110680001,160028
110680002,160029
110680005,187456
110680006,187455
110680007,187457
110680008,187445
110680009,187454
110680016,206296
110680020,187071
110680021,159883
110680022,159884
110680023,159885
110680024,159886
110680025,159887
110680026,159888
110680027,159889
110680028,159890
110680029,159891
110680030,159892
110680031,159893
110680032,159894
110680033,159895
110680034,159896
110680035,159897
110680036,159898
110680037,159899
110680038,159900
110680039,159901
110680063,196264
110680064,196265
110680065,162524
110680066,162526
110680067,162529
110680068,162291
110680069,162292
110680073,187165
110680074,187164
110680075,187163
110680076,187162
110680077,187161
110680078,187154
110680079,187157
110680080,187158
110680081,187159
110680082,187167
110680083,187166
110680084,187160
110680085,187152
110680086,187155
110680087,192602
110680088,191971
110680089,194509
110680090,194510
110680091,194511
110680092,194512
110680093,194513
110680094,194514
110680095,191867
110680096,213582
110680097,198445
110680098,198446
110680099,198447
110680100,196301
110680101,196302
110680102,196303
110680103,200900
110680104,200901
110680105,198668
110680106,198669
110680107,229731
110680110,214019
110680116,214020
110680117,229732
110680118,200316
