"PSH_CODE","PSH_NAME"
2636,"GARVOC"
2637,"GATUM GATUM"
2638,"GAYFIELD"
2639,"GEELENGLA"
2640,"GEERA"
2641,"GEERAK"
2642,"GELANTIPY EAST"
2643,"GELANTIPY WEST"
2644,"GELLIBRAND"
2645,"GEMBROOK"
2646,"GERAHMIN"
2647,"GERANGAMETE"
2648,"GERANG GERUNG"
2649,"GHERANG GHERANG"
2650,"GHERINEGHAP"
2651,"GHIN GHIN"
2652,"GIBBO"
2653,"GIFFARD"
2654,"GILLINGALL"
2655,"GILLUM"
2656,"GIMPA"
2657,"GINAP"
2658,"GINGIMRICK"
2659,"GINQUAM"
2660,"GIRGARRE"
2661,"GIRGARRE EAST"
2662,"GISBORNE"
2663,"GLENALADALE"
2664,"GLENALBYN"
2665,"GLENAROUA"
2666,"GLENAULIN"
2667,"GLENBURNIE"
2668,"GLENCOE"
2669,"GLENCOE SOUTH"
2670,"GLENDALE"
2671,"GLENDARUEL"
2672,"GLENDHU"
2673,"GLENELG"
2674,"GLENGOWER"
2675,"GLENHOPE"
2676,"GLENLOGIE"
2677,"GLENLOTH"
2678,"GLENLYON"
2679,"GLENMAGGIE"
2680,"GLENMONA"
2681,"GLENMORE"
2682,"GLENORCHY"
2683,"GLENORMISTON"
2684,"GLENPATRICK"
2685,"GLENROWEN"
2686,"GLENWATTS"
2687,"GLYNWYLLN"
2688,"GNARKEET"
2689,"GNARR"
2690,"GNARWARRE"
2691,"GNARWEE"
2692,"GOBARUP"
2693,"GOBUR"
2694,"GOLDIE"
2695,"GOLTON GOLTON"
2696,"GONZAGA"
2697,"GOOLENGOOK"
2698,"GOOMALIBEE"
2699,"GOONEGUL"
2700,"GOONGEE"
2701,"GOONGERAH"
2702,"GOON NURE"
2703,"GOORAMADDA"
2704,"GOORAMBAT"
2705,"GOORAM GOORAM GONG"
2706,"GOORNONG"
2707,"GORAE"
2708,"GOROKE"
2709,"GORONG"
2710,"GORRINN"
2711,"GORROCKBURKGHAP"
2712,"GORYA"
2713,"GOULBURN"
